centroid,log(zero_cross),type
4787.326274649342,-2.6623212492164767,rim
3247.1643542594234,-2.810282906670028,rim
3657.7443643303445,-2.8509664833064714,rim
4150.656879867731,-2.4037109915866726,rim
2245.8476668485937,-3.2495350123555755,rim
3661.5344388292333,-2.694347275935885,rim
5967.607141343076,-3.114715789546624,rim
993.1813857964729,-3.798894300123809,rim
1565.1881439752929,-4.4920414806837545,rim
5924.091290842653,-2.7616509578319914,rim
3672.4413477574544,-2.733567989089166,rim
5072.27004371154,-2.9879640839074804,rim
3137.382938920347,-2.6424624405668733,rim
2741.7820060828876,-2.999940274954196,rim
4842.23184417887,-1.8827598135572179,rim
842.9715448737979,-3.882664183189268,rim
5220.272723911581,-3.746708546953239,rim
1786.2399148626723,-1.3961407181743624,rim
1778.520458885061,-3.123765625066542,rim
3617.292237871143,-3.146755143291241,rim
2328.4958440699897,-3.244393612855157,rim
6294.779621305799,-3.3583378722043746,tom_high
2118.887650022017,-4.17358774956522,tom_high
329.69805299132577,-2.3667904029726246,tom_high
4841.398129155385,-2.4559362524908868,tom_high
1701.4842656295214,-4.933874232962793,tom_high
5622.832537430289,-3.1702856407014353,tom_high
4431.450451683002,-3.7900053527065634,tom_high
6090.824065362516,-3.540659428998329,tom_high
3299.378478306535,-4.213328078214734,tom_high
3924.692493843657,-4.08657637257559,tom_high
1287.854621288136,-5.259296633397422,tom_high
3717.9904109339413,-4.063045875165396,tom_high
5213.457831188182,-3.3356096211268187,tom_high
4484.779360700847,-4.646192160511013,tom_high
4859.352040293171,-3.7552192366211474,tom_high
1715.5547957790895,-4.098552563622306,tom_high
543.6448166863956,-4.933874232962793,tom_high
2192.846236792483,-3.9530449799510676,tom_high
2832.0259941324884,-3.582919238288212,tom_high
511.6909965395501,-5.339339341070958,tom_high
2211.5041356352576,-4.226933730270512,tom_high
2192.9289887626787,-3.882664183189268,tom_high
2184.7455776505362,-4.710730681648584,tom_high
4801.54221383852,-3.5686332810407353,tom_high
4925.6420674737965,-3.110221399958785,tom_high
2933.0162615366607,-3.604738285682852,tom_high
391.9966446082347,-5.259296633397422,tom_high
2102.350226391846,-5.1851886612437,tom_high
338.7879240782472,-4.879807011692518,tom_high
2116.7303413407135,-5.116195789756748,tom_high
2875.78711647692,-4.063045875165396,tom_high
3790.3601552350638,-3.9956045943698633,tom_high
5734.005284777915,-2.7397408481962473,tom_high
5168.695491478779,-3.963516279818363,tom_high
1649.0418656992447,-5.572954192252463,tom_high
2399.058414452733,-4.585567538694578,tom_high
1627.264909963111,-5.116195789756748,tom_high
2125.168101246832,-4.08657637257559,tom_high
3343.832657935747,-4.110673924154651,tom_high
2888.1456585005626,-4.646192160511013,tom_high
2450.939310431242,-4.8285137173049675,tom_high
3889.971085506611,-3.7552192366211474,tom_high
1221.031187027203,-5.684179827362688,tom_high
3158.852592653765,-3.8078629701065694,tom_high
1152.0440441908736,-5.1851886612437,tom_high
1091.3175332835494,-3.547579871842903,tom_high
2266.7656922852207,-4.474341903584354,tom_high
7607.335076162359,-3.393429192015645,tom_high
6715.528235503958,-1.898654187901684,tom_high
3171.5250191777563,-4.566149452837476,tom_high
